Student_ID,Attendance_Rate(%),Study_Hours_Per_Day,Previous_Marks,Assignment_Score,Quiz_Score,Class_Participation(1-10),Sleep_Hours_Per_Day,Stress_Level(1-10),Internet_Access(0/1),Parental_Support(1-5),Final_Score,Result
1,78.4,1.2,49.3,37.9,78.9,9,4.5,7,0,1,46.4,Fail
2,76.1,6.1,80.1,76.1,53.6,8,7.5,1,0,4,67.2,Pass
3,60.4,2.4,97.0,46.9,27.4,2,6.2,6,1,1,48.9,Fail
4,98.4,4.4,68.6,86.4,69.5,6,7.5,2,0,2,62.8,Pass
5,86.4,9.9,89.9,89.3,50.4,8,7.8,6,0,3,71.9,Pass
6,82.1,7.2,35.0,70.8,62.7,4,5.0,7,1,5,60.6,Pass
7,53.2,3.9,83.8,24.5,85.7,6,6.4,2,0,5,54.6,Pass
8,79.3,4.6,94.0,56.7,41.2,4,8.5,9,1,5,59.1,Pass
9,65.7,6.3,55.3,99.8,31.1,8,4.5,1,0,2,54.6,Pass
10,65.3,1.6,56.7,99.7,62.3,9,9.2,1,0,5,54.8,Pass
11,85.1,7.9,53.8,43.5,32.7,1,9.7,5,0,5,59.4,Pass
12,57.9,6.8,72.6,32.2,81.0,9,9.7,9,0,5,52.9,Pass
13,59.4,1.2,95.0,90.3,86.5,5,5.4,4,0,1,57.8,Pass
14,98.7,5.8,38.8,72.8,95.7,3,5.6,10,1,2,54.3,Pass
15,95.7,7.8,78.3,77.0,51.9,6,6.6,9,1,1,68.5,Pass
16,41.3,6.0,71.2,20.6,76.6,1,5.4,1,1,1,49.4,Fail
17,70.8,3.5,64.0,63.1,77.9,10,7.5,4,1,4,61.3,Pass
18,65.9,4.8,62.7,78.3,73.9,2,4.4,6,0,2,54.3,Pass
19,51.5,5.8,39.8,34.7,57.0,2,6.7,9,0,1,36.0,Fail
20,40.9,1.8,82.7,38.9,52.5,8,5.3,7,0,2,39.4,Fail
21,62.7,9.9,48.6,82.7,56.4,7,8.2,9,1,2,62.8,Pass
22,43.5,7.6,34.3,45.1,24.0,8,7.0,9,0,1,41.5,Fail
23,97.6,1.7,43.0,67.6,74.0,4,6.4,10,0,5,47.0,Fail
24,65.2,6.3,66.6,94.8,36.3,6,5.4,7,0,3,54.7,Pass
25,67.4,9.4,95.5,20.7,69.7,10,10.0,2,0,5,67.1,Pass
26,92.9,8.9,55.9,32.6,86.7,5,7.7,9,0,5,67.5,Pass
27,58.0,7.0,95.7,30.7,29.2,2,8.5,3,1,3,52.9,Pass
28,52.2,6.7,48.5,59.1,92.4,1,4.6,7,1,1,48.1,Fail
29,40.2,7.9,74.6,41.0,79.3,9,8.2,9,0,1,58.9,Pass
30,94.2,5.9,88.4,66.6,31.8,3,4.3,6,0,3,63.2,Pass
31,52.6,3.2,37.2,82.4,90.7,7,9.8,3,0,2,57.3,Pass
32,92.9,1.2,81.6,46.6,94.5,4,5.6,2,1,1,59.5,Pass
33,91.5,3.0,87.2,56.8,44.4,4,5.3,4,1,3,59.8,Pass
34,86.4,4.2,65.7,74.4,87.5,6,9.6,2,1,2,68.3,Pass
35,74.8,9.9,32.7,67.7,47.7,6,6.6,9,0,4,56.2,Pass
36,42.7,4.9,66.4,84.5,74.9,4,6.2,2,1,5,57.3,Pass
37,58.8,8.6,80.4,44.0,44.7,7,6.0,5,0,2,50.4,Pass
38,80.6,9.1,73.1,44.1,63.8,1,5.8,4,1,5,67.2,Pass
39,76.4,3.9,60.9,74.1,60.9,3,8.0,5,1,1,59.0,Pass
40,80.4,3.0,43.9,22.0,39.6,8,7.7,2,1,4,43.5,Fail
41,93.2,6.2,80.3,50.7,52.0,3,7.9,1,0,4,64.4,Pass
42,81.8,5.2,69.0,93.4,29.7,3,8.8,9,1,4,66.3,Pass
43,76.8,7.5,65.3,86.4,63.8,3,8.5,8,1,3,65.0,Pass
44,56.6,8.0,63.9,39.1,55.2,5,5.4,6,1,5,48.9,Fail
45,44.8,2.4,56.8,32.2,37.1,7,6.4,9,1,4,44.5,Fail
46,63.4,7.9,96.2,21.6,90.5,10,6.3,1,1,3,70.1,Pass
47,85.2,8.7,96.7,53.5,79.8,9,8.8,4,1,2,75.6,Pass
48,63.3,7.0,85.9,77.9,87.2,3,9.9,9,0,4,67.7,Pass
49,75.5,7.0,35.9,54.3,89.3,3,4.3,7,1,2,51.2,Pass
50,92.8,3.5,96.6,53.7,86.8,8,4.1,9,0,3,63.4,Pass
51,53.5,1.6,97.0,23.2,22.5,4,5.2,1,0,2,46.3,Fail
52,73.8,3.0,79.0,81.4,33.4,10,9.8,2,0,3,63.9,Pass
53,46.5,1.2,51.8,74.2,96.7,7,9.6,4,0,5,49.0,Fail
54,46.1,8.0,89.5,68.0,29.7,10,8.7,6,1,3,58.9,Pass
55,44.1,6.8,30.9,53.6,59.2,7,9.8,8,0,4,46.8,Fail
56,79.0,6.5,94.4,82.0,57.2,10,5.6,4,0,3,72.7,Pass
57,92.9,3.2,62.5,68.8,50.3,1,7.0,6,0,4,55.1,Pass
58,60.4,8.9,79.1,42.1,20.8,4,4.5,7,1,5,60.6,Pass
59,85.5,7.2,75.2,59.3,83.4,2,5.8,7,0,3,60.3,Pass
60,73.2,4.1,99.8,64.0,48.1,8,5.6,5,0,1,57.4,Pass
61,83.3,3.8,82.0,96.1,75.2,4,5.3,8,1,5,70.0,Pass
62,57.0,1.9,43.6,38.2,34.4,1,8.2,3,1,1,38.1,Fail
63,98.5,6.0,78.8,30.1,89.5,8,4.6,1,1,4,65.6,Pass
64,97.9,3.3,90.3,29.1,25.2,8,4.4,1,0,2,56.3,Pass
65,88.7,9.5,36.0,39.9,64.6,7,7.6,10,0,5,51.1,Pass
66,57.8,6.3,60.0,65.5,24.8,2,9.7,4,0,3,54.8,Pass
67,79.6,2.4,42.2,26.0,20.2,8,8.1,8,1,1,41.9,Fail
68,82.2,5.1,78.1,93.9,83.0,10,8.0,4,1,1,77.2,Pass
69,72.7,6.8,93.6,86.1,25.7,3,8.8,10,1,4,67.7,Pass
70,82.0,9.5,65.0,59.5,26.4,1,9.3,6,1,1,64.0,Pass
71,45.5,9.7,88.5,66.0,96.1,5,7.5,3,1,5,66.7,Pass
72,50.9,6.3,74.4,59.3,27.3,6,6.5,6,0,2,44.7,Fail
73,59.8,7.2,50.2,95.6,85.1,9,4.2,2,1,3,61.9,Pass
74,64.3,5.6,99.2,72.6,63.4,7,4.3,9,1,5,71.6,Pass
75,85.4,6.6,83.2,36.3,63.9,5,6.6,8,0,1,61.7,Pass
76,54.4,2.4,68.6,64.2,27.5,2,6.8,2,0,4,44.9,Fail
77,96.0,3.6,79.4,53.2,58.6,8,5.5,9,0,4,59.6,Pass
78,84.8,2.2,34.9,81.8,88.4,6,9.6,9,1,1,58.8,Pass
79,57.0,3.7,71.1,99.9,59.2,3,6.7,8,1,3,53.6,Pass
80,67.3,3.9,43.2,75.8,65.7,4,9.1,7,0,3,48.9,Fail
81,84.7,7.3,86.8,50.9,73.1,3,7.0,1,0,5,69.3,Pass
82,46.0,8.6,37.0,92.8,21.2,3,6.5,3,0,4,49.8,Fail
83,86.9,3.4,73.6,51.8,26.4,6,9.1,9,1,3,50.5,Pass
84,69.3,5.9,73.2,38.8,74.8,5,10.0,2,1,1,56.1,Pass
85,85.6,7.3,37.0,33.3,44.0,1,4.3,1,1,3,50.0,Pass
86,71.9,6.1,85.5,33.6,26.3,7,7.7,4,1,5,59.8,Pass
87,48.6,5.2,47.8,40.4,20.8,8,9.4,9,0,1,37.2,Fail
88,75.3,6.8,59.7,40.0,87.6,4,10.0,8,0,2,56.7,Pass
89,62.9,4.2,50.7,75.9,21.8,7,5.6,10,0,5,45.7,Fail
90,94.2,8.0,46.1,84.2,37.5,4,7.7,3,0,1,55.5,Pass
91,58.5,5.0,70.6,78.6,27.2,5,6.0,7,0,2,53.1,Pass
92,98.3,5.8,93.9,86.4,40.6,8,9.8,5,1,1,76.7,Pass
93,68.1,1.7,82.8,38.0,74.1,7,9.8,9,1,1,53.3,Pass
94,72.2,5.1,77.1,73.8,66.8,6,4.7,4,1,1,61.5,Pass
95,77.2,9.5,53.0,68.8,71.8,8,9.5,5,1,1,72.1,Pass
96,58.3,5.4,36.8,91.0,30.9,8,6.2,9,1,5,57.0,Pass
97,84.5,2.4,59.0,27.9,59.1,7,9.6,5,0,3,50.1,Pass
98,54.2,4.3,98.7,49.4,92.1,6,4.4,5,0,1,59.9,Pass
99,96.9,8.4,36.4,37.0,71.2,1,4.3,6,0,2,52.8,Pass
100,89.8,6.0,71.0,85.0,38.6,3,8.7,10,0,3,57.8,Pass
101,91.5,2.3,39.1,40.1,34.0,1,4.8,6,0,5,40.1,Fail
102,43.1,7.7,66.8,79.7,58.1,6,7.1,2,1,5,63.5,Pass
103,53.3,6.5,80.9,92.7,72.7,5,6.7,1,0,4,66.5,Pass
104,46.5,7.4,61.0,91.9,45.8,3,4.4,5,1,4,54.2,Pass
105,99.7,5.8,61.8,68.4,27.9,2,9.1,9,0,4,54.6,Pass
106,60.3,5.1,59.1,27.6,54.1,5,6.2,3,1,1,49.2,Fail
107,45.5,1.8,60.2,79.6,49.8,3,7.3,10,1,1,39.1,Fail
108,96.5,4.8,94.1,24.1,43.0,5,6.1,10,0,2,57.8,Pass
109,79.4,3.0,37.6,87.6,49.4,5,7.4,7,0,5,55.8,Pass
110,56.0,2.6,79.2,44.7,47.2,1,5.1,3,1,1,44.9,Fail
111,48.5,6.7,32.1,79.7,37.2,7,6.7,3,1,3,50.5,Pass
112,74.1,1.8,33.7,32.6,69.4,2,5.6,7,1,5,36.3,Fail
113,66.5,3.5,82.8,29.1,54.4,5,8.1,10,1,5,51.0,Pass
114,63.7,6.4,30.5,44.1,36.9,3,8.6,5,1,1,44.7,Fail
115,40.5,7.7,42.3,50.4,76.3,9,7.4,6,0,4,50.7,Pass
116,41.1,9.3,90.3,66.1,65.9,7,5.7,7,0,3,60.1,Pass
117,50.3,9.5,62.2,75.2,48.9,7,9.1,4,1,5,63.0,Pass
118,92.2,7.7,45.5,82.3,26.1,2,7.2,4,1,3,61.6,Pass
119,83.6,8.4,87.1,38.9,31.7,4,5.0,3,0,2,63.6,Pass
120,67.8,6.1,70.6,74.5,90.6,10,5.9,6,0,4,62.3,Pass
121,44.1,5.0,51.2,42.0,24.5,9,4.4,8,1,1,46.7,Fail
122,44.6,8.8,89.9,69.2,60.6,8,7.5,1,1,5,70.8,Pass
123,79.1,3.9,63.3,32.1,24.9,2,8.9,6,0,5,45.6,Fail
124,82.5,9.9,66.7,68.8,49.1,5,6.3,6,0,3,63.1,Pass
125,44.0,1.9,77.5,42.7,77.9,10,9.2,6,0,5,46.5,Fail
126,58.6,6.9,76.3,30.3,76.7,2,5.9,7,1,2,48.1,Fail
127,80.2,8.5,81.7,74.8,62.1,7,7.1,1,1,3,74.2,Pass
128,96.9,5.4,45.9,31.0,26.2,2,7.0,9,0,3,47.0,Fail
129,92.6,6.6,71.8,32.3,34.5,10,8.9,3,1,1,58.6,Pass
130,54.3,5.0,49.9,79.9,55.9,9,5.4,8,0,3,52.7,Pass
131,80.7,6.1,60.8,81.6,82.2,9,7.2,3,0,5,68.0,Pass
132,78.5,8.9,68.8,28.2,87.7,2,5.7,3,1,4,64.5,Pass
133,94.3,2.3,60.6,95.7,37.8,8,9.3,1,1,1,61.8,Pass
134,63.2,1.7,45.7,45.5,27.9,6,8.7,3,0,3,42.8,Fail
135,95.0,5.3,88.2,80.7,57.5,10,4.0,2,0,3,70.0,Pass
136,96.4,6.5,59.6,82.1,39.0,2,4.3,7,1,1,61.9,Pass
137,46.7,9.1,71.8,21.3,61.2,4,8.3,5,1,1,52.0,Pass
138,65.0,7.0,36.0,98.0,25.4,9,7.3,9,0,4,51.7,Pass
139,92.4,1.4,57.1,49.9,79.8,6,8.7,6,0,1,52.9,Pass
140,60.0,1.4,68.2,85.1,34.0,8,9.9,8,0,2,44.8,Fail
141,43.8,8.0,62.0,43.5,23.5,4,9.3,6,1,5,46.3,Fail
142,68.4,1.3,75.3,42.9,89.0,1,9.2,6,1,1,54.8,Pass
143,88.0,4.9,58.0,55.2,96.5,6,9.8,8,1,3,65.8,Pass
144,88.1,7.5,35.5,68.2,85.8,9,5.8,2,0,3,60.7,Pass
145,79.7,3.8,72.2,54.1,75.2,6,6.7,6,1,3,55.9,Pass
146,43.4,7.0,58.4,61.0,80.0,3,9.7,3,1,1,52.2,Pass
147,47.6,3.1,75.2,49.0,96.0,1,7.6,8,1,3,49.5,Fail
148,48.3,4.3,52.0,42.3,96.8,1,8.4,8,1,5,48.6,Fail
149,47.1,8.0,79.3,37.2,69.0,8,5.2,3,0,4,58.7,Pass
150,99.8,8.3,97.7,98.9,73.4,2,7.3,5,1,2,84.3,Pass
151,82.7,9.3,74.6,83.5,60.7,2,9.9,3,0,4,73.8,Pass
152,62.1,8.2,68.6,69.0,26.9,5,6.4,8,1,4,58.4,Pass
153,89.4,1.7,98.1,71.4,56.0,9,6.1,9,0,2,54.2,Pass
154,43.3,2.1,40.7,33.2,45.8,4,6.1,9,1,1,36.2,Fail
155,55.0,6.7,68.6,30.0,44.2,9,4.6,3,0,2,47.2,Fail
156,76.3,8.6,69.5,86.0,22.3,1,9.7,10,1,2,57.3,Pass
157,86.0,4.7,74.7,59.8,70.2,5,7.9,5,1,2,64.5,Pass
158,57.8,1.7,34.2,55.2,58.7,4,6.0,3,1,3,38.5,Fail
159,84.1,8.7,98.3,30.5,49.6,9,4.6,4,1,1,67.0,Pass
